lib,config,ef,recall,p50_ms,p95_ms,p99_ms,qps
hnswlib,M=16 efc=300,128,0.86845,0.645,0.8973,1.0022,1551.34
hnswlib,M=16 efc=300,256,0.8975,1.194,1.5179,1.7209,866.81
hnswlib,M=16 efc=300,512,0.9237,2.3583,2.9113,3.3952,437.5
hnswlib,M=32 efc=300,32,0.83535,0.4728,0.7343,0.854,2080.47
hnswlib,M=32 efc=300,64,0.87565,0.7989,1.1325,1.3154,1259.49
hnswlib,M=32 efc=300,128,0.9044,1.4068,1.8901,2.0867,728.72
hnswlib,M=32 efc=300,256,0.9314,2.662,3.3918,3.5309,396.01
hnswlib,M=32 efc=300,512,0.9549,4.6967,5.661,6.7145,226.49
usearch,M=16 efc=300,32,0.7682,0.1889,0.2975,0.3595,5123.17
usearch,M=16 efc=300,64,0.8267,0.3209,0.4684,0.5611,3055.9
usearch,M=16 efc=300,128,0.8672,0.5908,0.7942,0.9083,1706.17
usearch,M=16 efc=300,256,0.90185,1.1069,1.4328,1.5551,923.17
usearch,M=16 efc=300,512,0.92615,2.1548,2.988,3.3696,465.53
usearch,M=32 efc=300,32,0.8301,0.3386,0.517,0.689,2874.76
usearch,M=32 efc=300,64,0.8707,0.5035,0.7298,0.9084,1971.07
usearch,M=32 efc=300,128,0.90235,0.8642,1.1899,1.4544,1173.9
usearch,M=32 efc=300,256,0.92975,1.713,2.2724,2.5258,595.03
usearch,M=32 efc=300,512,0.95645,3.3905,4.2518,4.6414,306.49
faiss-hnsw,M=16 efc=300,32,0.7787,0.1512,0.243,0.2905,6215.26
faiss-hnsw,M=16 efc=300,64,0.8356,0.258,0.3983,0.5052,3696.39
faiss-hnsw,M=16 efc=300,128,0.86955,0.3886,0.5511,0.7921,2380.14
faiss-hnsw,M=16 efc=300,256,0.90105,0.71,0.9105,1.0689,1426.3
faiss-hnsw,M=16 efc=300,512,0.93005,1.4605,1.8646,2.6815,684.75
faiss-hnsw,M=32 efc=300,32,0.84235,0.1948,0.3104,0.3824,4977.85
faiss-hnsw,M=32 efc=300,64,0.88005,0.3345,0.4574,0.5308,3031.8
faiss-hnsw,M=32 efc=300,128,0.9117,0.6108,0.7804,0.8982,1696.6
faiss-hnsw,M=32 efc=300,256,0.9384,1.1926,1.4903,1.974,853.96
faiss-hnsw,M=32 efc=300,512,0.9612,2.462,2.9627,3.3871,426.03
